month,age,date,day,era,future,generation,hour,life,
anaemic,
g,
dl,
blood,juice,claret,clot,gore,hemoglobin,plasma,cruor,sanguine fluid,
sugar,carbohydrate,candy,caramel,dextrose,fructose,glucose,lactose,levulose,
level,matched,aligned,calm,common,constant,equivalent,even,exact,
high,big,great,huge,immense,large,lofty,long,soaring,
140,
mg,
160,
slightly,kind of,lightly,marginally,somewhat,hardly,hardly at all,hardly noticeable,imperceptibly,
systolic,
159,
mm,
hg,
diastolic,
90,
99,
hypertension,
moderately,a little,fairly,quite,rather,reasonably,slightly,somewhat,passably,
179,
109,
very,actual,appropriate,authentic,bare,bona fide,correct,especial,express,
180,
110,
cervix,
who,
have,accept,acquire,admit,bear,carry,enjoy,gain,get,
ever,consistently,constantly,continually,forever,regularly,usually,anytime,at all,
undergone,
examinations,audit,checking,checkup,cross-examination,diagnosis,experiment,exploration,inquiry,
breast,bosom,chest,nipple,bust,front,mammilla,teat,udder,
cavity,crater,armpit,atrium,basin,bursa,caries,chamber,decay,
sub,alternate,auxiliary,backup,replacement,second,standby,understudy,below,
centers,heart,hub,place,axis,bull's-eye,centrality,centriole,centrum,
community,association,center,company,district,nation,neighborhood,people,public,
district,commune,community,department,locality,neighborhood,parish,precinct,region,
hospitals,
detail,article,design,element,fact,part,plan,schedule,structure,
entered,enrolled,listed,posted,recorded,
with,along,alongside,amidst,among,beside,by,for,including,
without,after,beyond,externally,left out,on the outside,out,out-of-doors,outdoors,
toilet,ablutions,attire,dressing,grooming,make-up,toilette,getting ready,tidy-up,
having,accept,acquire,admit,bear,carry,enjoy,gain,get,
below,down,beneath,under,down from,underneath,
poverty,bankruptcy,debt,deficit,difficulty,famine,hardship,lack,scarcity,
line,boundary,channel,edge,band,bar,borderline,configuration,contour,
above,raised,high,over,overhead,superior,aloft,atop,beyond,
's,
accessing,penetrate,permeate,pervade,access,crack,foist,impregnate,insinuate,
covered,camouflaged,capped,closed,coated,concealed,enclosed,hidden,painted,
bls,
including,counting,along with,among other things,as well as,in addition to,in conjunction with,inclusive of,made up of,
coverage,analysis,insurance,report,broadcasting,description,indemnity,scope,
unapproved,illegal,illegitimate,pirated,unapproved,unconstitutional,unjustified,unlawful,unofficial,
gram,
panchayat,
declared,announced,stated,affirmed,self-confessed,
odf,
verified,documented,verifiable,established,seen,substantiated,confirmable,verificatory,
numbert,
villages,center,suburb,crossroads,hamlet,
exist,continue,endure,happen,lie,live,occur,prevail,remain,
unhabitated,
wise,astute,aware,careful,educated,enlightened,experienced,informed,judicious,
village,center,suburb,crossroads,hamlet,
cumulative,aggregate,increasing,accumulative,additive,additory,advancing,amassed,augmenting,
issued,expressed,announced,broadcast,delivered,disseminated,distributed,promulgated,published,
job,activity,appointment,assignment,business,career,office,operation,place,
cards,badge,calendar,check,label,poster,program,sheet,ticket,
tribes,association,caste,clan,people,society,blood,class,division,
all,complete,entire,full,greatest,gross,outright,perfect,total,
employment,business,contracting,enrollment,hiring,job,recruitment,service,trade,
demanded,appeal,challenge,claim,expect,force,order,press,question,
offered,afford,allow,award,display,donate,extend,give,grant,
provided,add,administer,afford,arrange,bring,cater,contribute,equip,
persondays,
generated,achieve,bring about,cause,develop,engender,make,provoke,set up,
families,clan,folk,group,house,household,people,tribe,ancestors,
completed,concluded,ended,finished,built,done,
beneficiary,heir,recipient,assignee,devisee,donee,grantee,heiress,inheritor,
land,acreage,area,beach,continent,country,countryside,district,earth,
reform,amend,improve,rebuild,rehabilitate,remake,renovate,reorganize,repair,
iay,
disabled,handicapped,infirm,paralyzed,weakened,wounded,confined,disarmed,hamstrung,
individuals,child,entity,human being,man,party,person,woman,being,
educational,academic,cultural,informational,scholarly,didactic,informative,instructive,scholastic,
summary,arbitrary,cursory,curt,hasty,succinct,terse,brief,compact,
overview,analysis,audit,critique,examination,sketch,synopsis,inquiry,inspection,
infrastructure,base,framework,footing,groundwork,root,support,underpinning,
